episode,status,runtime,reward,collisions_agent,collisions_obs,success
199,Obstacle Collision,354.52,-1.411,0,1,0
200,Obstacle Collision,355.31,-1.05,0,1,0
201,Obstacle Collision,358.5,-1.389,0,1,0
202,Success,359.88,-2.617,0,0,1
203,Success,361.91,-0.1,0,0,1
204,Success,363.75,-0.056,0,0,1
205,Obstacle Collision,365.3,-1.289,0,1,0
206,Obstacle Collision,368.34,-1.333,0,1,0
207,Success,369.6,-0.039,0,0,1
208,Agent Collision,370.86,-5.167,1,0,0
209,Success,372.17,-0.061,0,0,1
210,Success,375.18,-0.1,0,0,1
211,Success,377.34,-0.056,0,0,1
212,Success,379.32,-0.072,0,0,1
213,Agent Collision,382.66,-2.683,1,0,0
214,Success,384.88,-0.083,0,0,1
215,Obstacle Collision,386.28,-1.283,0,1,0
216,Success,388.35,-0.083,0,0,1
217,Success,389.84,-0.067,0,0,1
218,Obstacle Collision,390.25,-1.261,0,1,0
219,Obstacle Collision,391.82,-1.294,0,1,0
220,Success,394.02,-0.072,0,0,1
221,Success,395.42,-0.05,0,0,1
222,Success,396.42,-0.028,0,0,1
223,Success,397.67,-0.044,0,0,1
224,Obstacle Collision,399.74,-3.781,0,1,0
225,Success,401.53,-0.061,0,0,1
226,Success,404.37,-0.111,0,0,1
227,Obstacle Collision,405.5,-1.278,0,1,0
228,Success,406.52,-0.028,0,0,1
229,Success,408.17,-0.056,0,0,1
230,Success,410.93,-0.144,0,0,1
231,Success,413.68,-0.089,0,0,1
232,Success,416.37,-0.089,0,0,1
233,Success,418.95,-0.072,0,0,1
234,Success,421.47,-0.072,0,0,1
235,Success,423.04,-0.056,0,0,1
236,Obstacle Collision,424.1,-1.055,0,1,0
237,Obstacle Collision,424.53,-1.261,0,1,0
238,Obstacle Collision,425.11,-1.053,0,1,0
239,Success,426.75,-0.067,0,0,1
240,Obstacle Collision,427.8,-1.073,0,1,0
241,Success,430.35,-0.1,0,0,1
242,Success,432.34,-0.072,0,0,1
243,Obstacle Collision,436.44,-1.572,0,1,0
244,Success,438.56,-0.083,0,0,1
245,Obstacle Collision,438.99,-1.261,0,1,0
246,Success,440.06,-0.033,0,0,1
247,Success,441.7,-0.056,0,0,1
248,Success,443.03,-0.061,0,0,1
249,Success,445.25,-0.106,0,0,1
250,Obstacle Collision,446.72,-1.317,0,1,0
251,Success,449.51,-0.083,0,0,1
252,Obstacle Collision,450.24,-1.162,0,1,0
253,Success,452.4,-0.094,0,0,1
254,Obstacle Collision,456.09,-1.461,0,1,0
255,Success,458.56,-1.8,0,0,1
256,Success,461.2,-0.089,0,0,1
257,Success,463.16,-0.083,0,0,1
258,Obstacle Collision,465.42,-1.212,0,1,0
259,Obstacle Collision,466.03,-1.157,0,1,0
260,Success,469.11,-0.083,0,0,1
261,Success,470.94,-0.078,0,0,1
262,Success,472.24,-0.044,0,0,1
263,Success,473.53,-0.056,0,0,1
264,Success,474.39,-0.028,0,0,1
265,Obstacle Collision,475.18,-0.952,0,1,0
266,Obstacle Collision,478.46,-1.417,0,1,0
267,Success,480.12,-4.344,0,0,1
268,Success,482.07,-0.067,0,0,1
269,Obstacle Collision,483.55,-2.048,0,1,0
270,Success,485.34,-0.056,0,0,1
271,Obstacle Collision,486.17,-0.618,0,1,0
272,Obstacle Collision,488.9,-1.417,0,1,0
273,Obstacle Collision,489.48,-1.044,0,1,0
274,Obstacle Collision,490.84,-1.283,0,1,0
275,Obstacle Collision,493.46,-1.839,0,1,0
276,Success,494.77,-0.044,0,0,1
277,Success,497.2,-0.072,0,0,1
278,Success,499.07,-1.789,0,0,1
279,Success,500.07,-0.033,0,0,1
280,Success,502.74,-0.083,0,0,1
281,Obstacle Collision,504.39,-1.294,0,1,0
282,Success,507.88,-0.133,0,0,1
283,Obstacle Collision,510.17,-3.478,0,1,0
284,Success,511.5,-0.05,0,0,1
285,Success,513.38,-0.072,0,0,1
286,Success,514.93,-1.767,0,0,1
287,Success,517.4,-0.117,0,0,1
288,Success,518.89,-0.05,0,0,1
289,Obstacle Collision,521.44,-2.183,0,1,0
290,Success,523.13,-0.089,0,0,1
291,Success,524.95,-0.061,0,0,1
292,Success,526.11,-0.033,0,0,1
293,Success,527.58,-0.067,0,0,1
294,Obstacle Collision,529.68,-1.333,0,1,0
295,Success,531.33,-0.061,0,0,1
296,Success,532.9,-0.044,0,0,1
297,Obstacle Collision,534.72,-0.989,0,1,0
298,Success,536.27,-0.056,0,0,1
299,Obstacle Collision,537.38,-1.278,0,1,0
300,Obstacle Collision,538.38,-0.944,0,1,0
301,Obstacle Collision,539.89,-1.097,0,1,0
302,Obstacle Collision,541.12,-1.18,0,1,0
303,Success,542.54,-0.061,0,0,1
304,Success,543.86,-0.044,0,0,1
305,Success,545.99,-0.083,0,0,1
306,Success,547.94,-0.05,0,0,1
307,Success,549.66,-0.072,0,0,1
308,Success,551.69,-0.072,0,0,1
309,Success,553.08,-0.039,0,0,1
310,Success,555.31,-0.089,0,0,1
311,Obstacle Collision,555.99,-1.267,0,1,0
312,Obstacle Collision,559.2,-1.339,0,1,0
313,Success,561.17,-0.067,0,0,1
314,Obstacle Collision,563.72,-1.211,0,1,0
315,Obstacle Collision,564.35,-1.267,0,1,0
316,Success,566.02,-0.078,0,0,1
317,Success,569.19,-0.1,0,0,1
318,Obstacle Collision,576.11,-1.683,0,1,0
319,Success,578.77,-0.1,0,0,1
320,Success,581.58,-0.1,0,0,1
321,Success,582.9,-0.033,0,0,1
322,Obstacle Collision,583.54,-1.267,0,1,0
323,Success,585.94,-0.956,0,0,1
324,Obstacle Collision,587.16,-1.189,0,1,0
325,Obstacle Collision,588.34,-1.306,0,1,0
326,Success,591.14,-3.506,0,0,1
327,Success,593.72,-0.944,0,0,1
